file_id, prod_id, transcribe
513fa3f211f4a76b70b8dcd038fff770, hr, "The 36 hour forecast."
5165bc0ccd889e5c7db7298e88c12509, cr, "The current radar, showing any local precipitation in your area. Intensity is indicated by the color code at the top of the screen."
534c55b2ebfbae4fd4690104c254593a, cc, "The current conditions."
54222439265b414d053ab3e095aa0ee6, cc, "Coming up, a look at your local radar, but first the current local conditions."
554be725f5b9509eade812a23a79d775, cc, "The current conditions."
56efacd1066f7a4bd5c59eedcb9318f7, al, "Special regional information."
57fb66cbd373323336e22c9f58a11990, hr, "Your local 36 hour forecast."
595e55baa28c86fd5d20d54c9b1c62b5, ex, "The extended forecast."
5974d9d28af21489d45f8494cc678126, rf, "The regional forecast."
59821ac45838ea11dfde064e8a026881, rf, "The regional forecast."
5995e446c6cc68bc5f0557fe5aff1e6a, lr, "Your local radar, showing the movement of any precipitation in the area."
5b0719fc1b18b96990ac819a8db0af69, ol, "Your region's long range outlook."
5b67217aadb54467984ec22fcb71a115, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
5bb21fe5b68f528e57b488f388a4fccf, cc, "The current conditions."
5da42a2dc1ca430f7ff9b0b72704be11, rf, "Today's regional forecast."
5e7ad584cc29c528ba300fa9746f3aad, rf, "The regional forecast."
60e50d306f0a70b7275ca7d2ff36b697, lu, "The short term forecast from the National Weather Service."
61c5e9ab593d47051144b0702a6d4b85, hr, "Your local 36 hour forecast."
61c5f7756a929d6d8d4e2b119b78e7a3, cc, "Coming up, a look at your local radar, but first the current local conditions."
61d0316763a41088dc37cf192212b38a, rf, "Today's regional forecast."
636a87d890c95d907eb569abc81a9b00, rc, "Regional conditions."
6511bf6ef826ddb1b12357dffd1c9902, tf, "The forecast for cities nationwide."
660695e0c151b6020b2c5e99a41f5114, rf, "The regional forecast."
66161998c104a9428dcbb6942046e9ff, lr, "Coming up, a look at your local radar, but first the 36 hour forecast."
68803208599ec6f9ab06eb17de791228, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
6bf2128e6c37e8280d63bb6d34f82a2e, ex, "The extended forecast."
6cddb47e7f6a500e66d79ff4f55e4d57, al, "Special regional information."
6d311e9258ce0d6b2357d63c286d30f8, ex, "The extended forecast."
6f51df48d696a02e8fcac5eafd838473, hr, "Your local 36 hour forecast."
70b2d7396da107c8bb86bb8f5480e86a, hr, "Coming up, a look at your local radar, but first the 36 hour forecast."
7148d7119b10f575e3caa3dfb419fbb9, hr, "Coming up, a look at your local radar, but first the 36 hour forecast."
7d5a96fb81c971d2886b71894eeab4f9, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
7e656b6cc7e7aa9eb3e063ee7120fc73, rf, "The regional forecast."
7f498135f2b1e8cfd0ecfc5a3bb20589, cc, "Coming up, a look at your local radar, but first the current local conditions."
80f20bf023acd068751af686e6d2ab7a, rf, "The regional forecast."
81f5bc17912df0922381f67edb7ad6ce, ex, "The extended forecast."
823cd83a3778e0553cdf4346a5bb2ede, hr, "Coming up, a look at your local radar, but first the 36 hour forecast from the National Weather Service."
84de96eed4a11c8f1bf47e80f6adc11a, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
859ae5bdd48c01f5c3b499451c3a2c43, cc, "The current conditions."
8600de4e83af768c49520283997492fe, ol, "Your region's long range outlook."
875a014fb144e9e702551d588e3849fb, tf, "The forecast for cities nationwide."
88977907b6cd63de9b6636c7f1ad4612, hr, "Your local 36 hour forecast."
88b6f3749b0d5dbba7f43e115d173388, cc, "Coming up, a look at your local radar, but first the current conditions."
8ad602c0b07d07dd06a4576a191b7164, al, "Special regional information."
8bb957877863b97e58361c33f3be49ed, rf, "The regional forecast."
8f0245006a6ac5e82d2e75982c3377c4, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
903a02e6e8f3e0cb348a58d94991329c, rc, "Current regional conditions."
91053e66763d302e457f09a676ff49f3, rf, "Today's regional forecast."
948878e950d29c335e8b704e4c924777, al, "Special regional information."
952ee541140abc14bc096d405671793c, ex, "The extended forecast."
96babb2cc7390b959a3f33a68b96813e, cc, "Coming up, a look at your local radar, but first the current conditions."
97570a568868f15a3c2e69fa8b5cd757, tf, "The forecast for cities nationwide."
975e88348712a5fee1fac36e209ec4a3, hr, "The 36 hour forecast."
97d3551c9ac00785ad380c5d502d874b, rf, "Today's regional forecast."
98a8e46a28cc9869d6d8fce49d8df246, cc, "Coming up, a look at your local radar, but first the current local conditions."
9bb73f6c54187ae82d421d853e2860cd, ex, "The extended forecast."
9c22b16d6881ae04b188f2acec9e0173, hr, "Your local 36 hour forecast from the national weather service."
9c51973177ae7fd90dd4975ea5a0e727, ol, "Your region's long range outlook."
9d3eb53f3c69293f91e55aaf8d9cbb28, al, "Special regional information."
9da63d0f072bf909548ab046bbd9082d, ol, "Your region's long range outlook."
9fc3520240954d9fe26da61bf8336d42, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
a0136fdc777e5be968b6b85cc0be80a2, cr, "The current radar, showing any precipitation in your area."
a15a04b559264d4034e6530eb194baa6, cc, "The current local conditions."
a161efbd3de19887a83c4a5b58a6c0c5, al, "Special regional information."
a3066f377cfc0284b317aa77061a94a3, al, "Special regional information."
a73cb42bdad1f910d60e5089658792ef, rf, "The regional forecast."
a776bf086d186340ec3d107ac32c87cc, tf, "The forecast for cities nationwide."
aa551b33be62c6542a32a46a2679b7c9, rf, "The regional forecast."
adada33fdc0169084617ac2f95ca2fff, ex, "The extended forecast."
b03a7b7c77bbf7bd416e199e21a17f05, hr, "Your local 36 hour forecast."
b0fbd7d527f67c7e410f2280d1757cc6, lr, "Your local radar, showing the moment of any precipitation."
b443c03c316dc9a4fd21f783d837a2dc, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
b778259baaecfb3e1f6442725c832cb9, al, "Special regional information."
b798735887cbe10aefc1e4ade51b8ede, al, "Special regional information."
ba44f6cc04d5c07d3c3ba27676b4c16e, tf, "The forecast for cities nationwide."
ba9acc908ff4e2aa12ca0b063e53d378, lu, "An update on local weather conditions from the National Weather Service."
bc9a4b103b8f2afd24f30fb5a01ee307, tf, "The forecast for cities nationwide."
bf390031d12b8f9ae1839553fed35d35, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
c04227df2ddb274273548a162fa27148, tf, "The forecast for cities nationwide."
c079ee2ec550c8d899d580f7fa7b7d58, hr, "Your local 36 hour forecast."
c1fa78211142175f1a812b3031e0e923, al, "Special regional information."
c462fa0d1cfe0e39ff5058bdbd067c29, cc, "Coming up, a look at your local radar, but first the current local conditions."
c4e7968aa2d95ff6f751682f3835b722, hr, "Your local 36 hour forecast."
c4ffb89461ba4c4d26bdfb3f315c0f2e, hr, "The 36 hour forecast."
c5d97b8b631e01e01f14b18ebc1d7d3c, ex, "The extended forecast."
c646517765467c4b1d4cfcc65d04a616, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
c6767915112785a3d97939458c76c429, rf, "Today's regional forecast."
c6a94b675ad742d688e3d141e46bf23d, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
c6ca62650472dec85978d9b6941d9d07, al, "Special regional information."
c705f2e5ead0713e18553b47371d00e7, rf, "Today's regional forecast."
c7d0483bff14b927d7c2daeb7708ae5e, cc, "Coming up, a look at your local radar, but first the current local conditions."
c874545803883933e130ec36d1731dde, tf, "Today's forecast for cities nationwide."
c9bf86e7c717e369a038c5f3224eb339, cc, "Coming up, a look at your local radar, but first the current local conditions."
cc3099982d9d705dd49d56a5ecb562b3, al, "Special regional information."
cc71bb74e7b97bb2c02dccf9e9779351, cc, "Coming up, a look at your local radar, but first the current local conditions."
cc7aee8c48a72f397b51117e85ce1843, ol, "Your region's long range outlook."
d18f1c29bb93bb425a4abc863ea00ec2, hr, "Your local 36 hour forecast."
d1cbce51ee79c9de3d98891dbe714976, hr, "Your local 36 hour forecast."
d296e94a0c29cc21cec120aa5addda3b, rc, "Current regional conditions."
d3c7952774bdf09ddd4f7c953e0564c3, al, "Special regional information."
d633bc0971d4aad89aeb33661296b578, lr, "The current local radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
d6e43bd9f89e59f401a8154f3a0e67e4, rf, "Today's regional forecast."
d8f98aa3a3f5e6df9dffbd1c32a94302, ex, "The extended forecast."
d9853f0416591bc1135347f741d10afe, al, "Special regional information."
db07e3c689ffb89244835c5412c8a1b0, xf, "The five day forecast."
db2c0f7b8a9cf28456070b6dab9c6950, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
db99ed4359b4786eb2969963c64d213c, hr, "Coming up, a look at your local radar, but first the 36 hour forecast."
dcf3d6ac1a491185d72885fcd10edf20, hr, "Your local 36 hour forecast from the National Weather Service."
dfe44f44dd7aeb333d8d7dba5d7ebdaf, al, "Special regional information."
e219ac1a2068b75f92072f48a2464e11, hr, "Coming up, a look at your local radar, but first the 36 hour forecast."
e80bd53674892f31faf736341a54c000, cc, "Coming up, a look at your local radar, but first the current local conditions."
e894bb04610892689ca7d4eee56dfc2e, lr, "The current local radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
e8cc754da37639ab9416e0389ff99b78, tf, "Today's forecast for cities nationwide."
e8e7dada81ac256528dedba79c12b5f0, al, "Special regional information."
e93a0f6757bcdde6c1bbf2240d65f963, rf, "The regional forecast."
ec302b927ee263576a41aa1f6b276079, al, "Special regional information."
ee251589273225c856fd7ad623e1ed34, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
ee7969a30413b4aa1e7b6b5d01ef61d5, rf, "The regional forecast."
eea77f66835f06a59efca6c20202794d, al, "Special regional information."
efa078e102b88ab4d15c282f73bd93d3, lr, "The current local radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
f0762220572a1d322a987e3b306681b0, hr, "Your local 36 hour forecast from the National Weather Service."
f076db92fee2b170f9f0d085baa73310, hr, "The 36 hour forecast."
f1b12c6fd655258bf942ec1a513e2eb3, hr, "Your local 36 hour forecast."
f418fdc3fc1da3014ba41d9c648ce084, ex, "The extended forecast."
f5e0f7d9304d39cb984dc96caf2b232e, rf, "The regional forecast."
f6839a22117cbb7e01ba007d62a9916b, ol, "Your region's long range outlook."
f68a2d754448275c7d7563018a3a1232, rf, "The regional forecast."
f7889b6e3d11375304f1f231dcfb0d9e, ex, "The extended forecast."
f8a097720bd24b5fecaf4655577b9eb3, rf, "The regional forecast."
f994779a68c395887a218efb8ca7d154, rf, "The regional forecast."
f9a903bfd90a625d3b103505f98a31ab, al, "Special regional information."
fb2f94e90eab775838480ed89a020205, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
fc3d22c302a4d784476de7f568aec7e8, cc, "Coming up, a look at your local radar, but first the current local conditions."
fc55c0dbda3dd0bbf605e703e61aadf6, hr, "The 36 hour forecast."
fc61b111434208628d453489f7419db2, ex, "The extended forecast."
fefbc58b99bf94a2b848d3c709bdb642, cc, "Coming up, a look at your local radar, but first the current local conditions."
ff1d9a41a1d364a72f0e58eafbc5b4ac, lu, "An update on local weather conditions for the next few hours."
